Time_h	Glucose_conc_mM	Biomass_gL
0	10	0.01
0.1	9.99284135013096	0.0106633927933084
0.2	9.98520780058922	0.0113707945858422
0.3	9.97706784687258	0.0121251249034504
0.4	9.96838789449305	0.012929496950664
0.5	9.95913212032851	0.0137872304597587
0.6	9.94926232477677	0.0147018653916566
0.7	9.93873777410153	0.0156771765457364
0.8	9.92751503231981	0.0167171891388467
0.9	9.9155477819368	0.0178261954178207
1	9.90278663278847	0.0190087723740533
1.1	9.88917891820293	0.0202698006332495
1.2	9.8746684776392	0.0216144845983061
1.3	9.85919542490652	0.0230483739284571
1.4	9.84269590100736	0.0245773864433304
1.5	9.82510181058435	0.0262078325464428
1.6	9.80634054088319	0.0279464412689323
1.7	9.78633466207176	0.0298003880410129
1.8	9.76500160767872	0.0317773243057674
1.9	9.74225333383252	0.0338854090974982
2	9.71799595589461	0.0361333427149629
2.1	9.6921293609872	0.0385304026284682
2.2	9.66454679481633	0.0410864817690142
2.3	9.63513442108513	0.0438121293575139
2.4	9.60377085167884	0.046718594442592
2.5	9.57032664568265	0.0498178723266521
2.6	9.53466377516475	0.0531227540718135
2.7	9.49663505551982	0.0566468792900378
2.8	9.45608353802189	0.0604047924353137
2.9	9.41284186207964	0.0644120028302252
3	9.36673156452074	0.0686850486746381
3.1	9.31756234305464	0.0732415653006782
3.2	9.26513127087396	0.078100357955694
3.3	9.2092219591532	0.0832814794135901
3.4	9.14960366398813	0.0888063127348389
3.5	9.08603033409021	0.0946976595167335
3.6	9.01823959530575	0.100979833998098
3.7	8.94595166776882	0.107678763406835
3.8	8.8688682112188	0.114822094964462
3.9	8.78667109371723	0.122439309989244
4	8.69902107868214	0.130561845568852
4.1	8.60555642482117	0.139223224304697
4.2	8.50589139318539	0.148459192663404
4.3	8.39961465518198	0.158307868506435
4.4	8.28628759497572	0.168809898406705
4.5	8.16544249927304	0.180008625401482
4.6	8.03658062701752	0.191950267873891
4.7	7.89917015103056	0.204684110301277
4.8	7.75264396310179	0.218262706657698
4.9	7.59639733347093	0.232742097309968
5	7.42978541504121	0.248182040302451
5.1	7.25212058202425	0.264646257985101
5.2	7.06266959203244	0.282202700002644
5.3	6.86065055990665	0.300923823730263
5.4	6.64522973078981	0.32088689331319
5.5	6.41551803912855	0.342174298544363
5.6	6.17056743940145	0.364873894896207
5.7	5.90936699343049	0.389079366109863
5.8	5.63083869812752	0.414890610838344
5.9	5.33383303645648	0.442414154939302
6	5.0171242332496	0.47176359111901
6.1	4.67940519629794	0.503060047742005
6.2	4.31928212183748	0.53643268874123
6.3	3.93526874216704	0.572019246691844
6.4	3.52578019165732	0.609966591248779
6.5	3.08912646583545	0.650431335294019
6.6	2.62350544654984	0.693580481295265
6.7	2.12699546442955	0.739592110543563
6.8	1.59754736794258	0.788656118114459
6.9	1.03297606632118	0.840974996585949
7	0.430951511450897	0.896764671747711
7.1	0	0.940189497145174
